Date,Open,High,Low,Close
06/17/2022,"2,208.42","2,239.70","2,196.06","2,220.49"
06/16/2022,"2,310.04","2,310.04","2,187.41","2,200.75"
06/15/2022,"2,284.00","2,338.44","2,274.83","2,310.04"
06/14/2022,"2,294.08","2,309.02","2,262.82","2,284.00"
06/13/2022,"2,403.07","2,403.07","2,284.76","2,294.08"
06/10/2022,"2,468.57","2,468.57","2,399.42","2,403.07"
06/09/2022,"2,520.61","2,520.61","2,468.51","2,468.57"
06/08/2022,"2,567.72","2,567.72","2,513.75","2,520.61"
06/07/2022,"2,535.77","2,567.75","2,510.06","2,567.72"
06/06/2022,"2,521.13","2,549.26","2,521.13","2,535.77"
06/03/2022,"2,549.84","2,549.84","2,513.04","2,521.13"
06/02/2022,"2,494.67","2,549.84","2,492.53","2,549.84"
06/01/2022,"2,514.80","2,530.42","2,463.19","2,494.67"
05/31/2022,"2,539.84","2,539.84","2,498.31","2,514.80"
05/27/2022,"2,491.40","2,540.03","2,491.02","2,539.84"
05/26/2022,"2,426.56","2,492.85","2,426.56","2,483.02"
05/25/2022,"2,380.40","2,436.95","2,369.80","2,426.56"
05/24/2022,"2,409.82","2,409.82","2,338.64","2,380.40"
05/23/2022,"2,384.81","2,420.71","2,377.80","2,409.82"
05/20/2022,"2,391.34","2,417.26","2,330.26","2,384.81"
05/19/2022,"2,395.68","2,419.80","2,373.26","2,391.34"
05/18/2022,"2,489.44","2,489.44","2,387.37","2,395.68"
05/17/2022,"2,417.76","2,489.85","2,417.76","2,489.44"
05/16/2022,"2,430.83","2,436.28","2,401.82","2,417.76"
05/13/2022,"2,369.81","2,446.64","2,369.81","2,430.83"
05/12/2022,"2,348.01","2,385.41","2,326.17","2,369.81"
05/11/2022,"2,389.58","2,436.02","2,344.95","2,348.01"
05/10/2022,"2,396.94","2,435.69","2,347.72","2,389.58"
05/09/2022,"2,480.95","2,480.95","2,386.84","2,396.94"
05/06/2022,"2,514.75","2,514.75","2,450.44","2,480.95"
05/05/2022,"2,610.06","2,610.06","2,490.00","2,514.75"
05/04/2022,"2,539.21","2,612.59","2,518.02","2,610.06"
05/03/2022,"2,515.14","2,551.31","2,512.46","2,539.21"
05/02/2022,"2,500.26","2,527.53","2,461.13","2,515.14"
04/29/2022,"2,570.11","2,582.66","2,497.37","2,500.26"
04/28/2022,"2,522.93","2,580.35","2,503.92","2,570.11"
04/27/2022,"2,522.32","2,552.27","2,509.89","2,522.93"
04/26/2022,"2,597.46","2,597.46","2,521.91","2,522.32"
04/25/2022,"2,583.21","2,599.34","2,531.06","2,597.46"
04/22/2022,"2,653.86","2,653.86","2,582.28","2,583.21"
04/21/2022,"2,702.73","2,729.00","2,646.83","2,653.86"
04/20/2022,"2,682.45","2,717.57","2,682.45","2,702.73"
04/19/2022,"2,623.40","2,685.83","2,623.40","2,682.45"
04/18/2022,"2,628.61","2,636.37","2,611.40","2,623.40"
04/14/2022,"2,646.27","2,661.93","2,628.56","2,628.61"
04/13/2022,"2,602.25","2,646.57","2,602.25","2,643.85"
04/12/2022,"2,605.74","2,652.30","2,595.19","2,602.25"
04/11/2022,"2,617.09","2,639.09","2,603.55","2,605.74"
04/08/2022,"2,619.17","2,641.69","2,607.01","2,617.09"
04/07/2022,"2,624.62","2,631.43","2,585.02","2,619.17"
04/06/2022,"2,654.46","2,654.46","2,608.37","2,624.62"
04/05/2022,"2,703.68","2,712.25","2,649.79","2,654.46"
04/04/2022,"2,710.15","2,712.60","2,691.41","2,703.68"
04/01/2022,"2,693.66","2,723.17","2,687.28","2,710.15"
03/31/2022,"2,732.60","2,741.22","2,693.66","2,693.66"
03/30/2022,"2,773.72","2,773.72","2,719.93","2,732.60"
03/29/2022,"2,717.04","2,780.91","2,717.04","2,773.72"
03/28/2022,"2,712.43","2,717.21","2,683.26","2,717.04"
03/25/2022,"2,693.66","2,713.01","2,687.02","2,712.43"
